pregunta,respuesta,categoria
¿Cómo me inscribo a una asignatura?,"Para inscribirte: 1) Ingresa al portal académico con tu usuario institucional. 2) Ve a 'Inscripción de materias'. 3) Selecciona las asignaturas y confirma. Recuerda hacerlo dentro de las fechas oficiales del calendario académico.",Inscripción
¿Cuál es el horario de atención de secretaría?,"La secretaría académica atiende de lunes a viernes, 8:00 a.m. a 12:00 m. y 2:00 p.m. a 5:00 p.m. Recuerda llevar tu carné estudiantil.",Servicios
¿Dónde encuentro el reglamento estudiantil?,"Puedes consultar el reglamento estudiantil completo en el portal de la universidad, sección 'Normatividad'. También está disponible como PDF en este asistente.",Normatividad
¿Cómo solicito un certificado de estudios?,"1) Ingresa al portal académico. 2) Ve a 'Solicitudes' > 'Certificados'. 3) Paga el valor correspondiente. 4) Descarga el certificado en 24-48 horas hábiles.",Trámites
¿Qué hago si olvidé mi contraseña del campus virtual?,"Ve a la página de inicio de sesión y haz clic en '¿Olvidaste tu contraseña?'. Recibirás un correo con instrucciones. Si el problema persiste, contacta al soporte técnico.",Soporte técnico
¿Cuándo inicia el semestre?,"Las fechas exactas de inicio están en el calendario académico oficial. Te recomiendo consultarlo en este asistente o en el portal universitario.",Calendario
¿Cómo subo una tarea en Moodle?,"1) Ingresa a Moodle con tu usuario. 2) Selecciona el curso. 3) Abre la actividad asignada. 4) Haz clic en 'Agregar entrega'. 5) Sube tu archivo (preferiblemente PDF). 6) Confirma el envío.",Plataforma
¿Cuántas asignaturas puedo inscribir por semestre?,"El número máximo de asignaturas depende de tu plan de estudios y promedio académico. Generalmente entre 5 y 7 materias. Consulta con tu director de programa para tu caso específico.",Inscripción
¿Cómo solicito una homologación de materias?,"1) Reúne los certificados de notas y contenidos programáticos de la materia previa. 2) Radica la solicitud en la secretaría académica. 3) Espera la evaluación del comité (10-15 días hábiles).",Trámites
¿Puedo cambiar de programa académico?,"Sí, debes solicitarlo en secretaría académica antes del cierre de inscripciones. Requisitos: promedio mínimo, formulario de cambio y entrevista con el director del programa destino.",Trámites
¿Qué pasa si pierdo una materia?,"Debes inscribirla nuevamente en el siguiente semestre. Si pierdes la misma materia tres veces, podrías quedar en condicional académica. Consulta el reglamento estudiantil.",Académico
¿Cómo accedo a la biblioteca virtual?,"Ingresa al portal universitario con tus credenciales y selecciona 'Biblioteca'. Tendrás acceso a bases de datos académicas, libros y revistas digitales 24/7.",Servicios
